grid_id,lon_center,lat_center,T_SAND,T_CLAY,T_SILT,T_OC,T_OM,T_GRAVEL,T_ECE,T_REF_BULK_DENSITY,wilting_point,field_capacity,saturation,available_water,sat_hydraulic_cond,matric_bulk_density,b_parameter,lambda_param,air_entry_tension,bulk_density_normal,compaction_factor
1068.0,118.3191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1069.0,118.4191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1070.0,118.5191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1071.0,118.6191,31.2422,40.0,27.0,33.0,0.83,1.43092,5.0,0.1,1.36,0.169991067112,0.3006650492809041,0.4368097355321041,0.1306739821689041,6.080610160856897,1.492454200839924,6.693040564151982,0.14940892564674027,5.007582504481474,1.492454200839924,1.0
1072.0,118.7191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1073.0,118.8191,31.2422,14.0,39.0,47.0,0.8,1.3792,4.0,0.2,1.26,0.23482522144000004,0.38660147579466836,0.4900243276346683,0.15177625435466832,2.7026653043799573,1.351435531768129,7.655582664354592,0.1306236303418331,8.791810410109907,1.351435531768129,1.0
1074.0,118.9191,31.2422,,,,,,,,,,,,,,,,,,,1.0
1075.0,119.0191,31.2422,42.0,20.0,38.0,1.06,1.8274400000000002,4.0,0.1,1.41,0.13285452879999998,0.2681468918493425,0.4399302500829425,0.1352923630493425,12.733157782479143,1.4841848372802022,5.434743813034487,0.18400131347528054,4.3458317581951285,1.4841848372802022,1.0
1076.0,119.1191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1077.0,119.2191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
