grid_id,lon_center,lat_center,MU_GLOBAL,T_SAND,T_CLAY,T_SILT,T_OC,T_GRAVEL,T_REF_BULK_DENSITY,T_ECE,S_SAND,S_CLAY,S_SILT,S_OC,S_GRAVEL,S_REF_BULK_DENSITY,S_ECE
207,116.7191,29.9422,11808.0000,27.0000,48.0000,25.0000,1.2400,4.0000,1.2500,0.1000,22.0000,56.0000,22.0000,0.4500,6.0000,1.2200,0.1000
208,116.8191,29.9422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
209,116.9191,29.9422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
210,117.0191,29.9422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
211,117.1191,29.9422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
212,117.2191,29.9422,11839.0000,40.0000,23.0000,37.0000,1.1600,8.0000,1.3900,0.1000,35.0000,32.0000,33.0000,0.3500,7.0000,1.3300,0.1000
218,117.8191,29.9422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
219,117.9191,29.9422,11604.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
260,115.5191,30.0422,11823.0000,40.0000,27.0000,33.0000,0.8300,5.0000,1.3600,0.1000,36.0000,36.0000,28.0000,0.3400,5.0000,1.3100,0.1000
261,115.6191,30.0422,11605.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
262,115.7191,30.0422,11605.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
263,115.8191,30.0422,11605.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
